V1,time_stamp,validity_1,validity_2,validity_3,validity_4,validity_5,validity_r_1,validity_r_2,validity_r_3,validity_r_4,validity_r_5,gaze_left_1,gaze_left_2,gaze_left_3,gaze_right_1,gaze_right_2,gaze_right_3, gaze_origin_left_1, gaze_origin_left_2, gaze_origin_left_3,gaze_origin_right_1, gaze_origin_right_2, gaze_origin_right_3,convergence_validity,convergence_distance,pupil_diameter,pupil_diameter_r,eye_open,eye_open_r,time,v1_head,v2,x,y,z,qw,qx,qy,qz
3718401,1578642354102842,1,1,1,1,0,1,1,1,1,0,0.07688904,-0.13702393,0.98756409,0.10848999,-0.12110901,0.98667908,33.27148438,-0.10246277,-30.04423523,-25.5647583,0.1632843,-22.86238098,0,0.0,4.34194946,4.34194946,0.94618553,0.94713008,1578642354099399,251932416833, HMD, -0.07530, 1.18425, 0.38061, 0.03053, 0.02172, -0.99805, 0.04990
3718401,1578642354106844,1,1,1,1,0,1,1,1,1,0,0.07688904,-0.13702393,0.98756409,0.10848999,-0.12110901,0.98667908,33.27148438,-0.10246277,-30.04423523,-25.5647583,0.1632843,-22.86238098,0,0.0,4.34194946,4.34194946,0.94618553,0.94713008,1578642354113860,251932561454, HMD, -0.07507, 1.18438, 0.38057, 0.03057, 0.02171, -0.99805, 0.04994
3718409,1578642354110849,1,1,1,1,0,1,1,1,1,0,0.07595825,-0.13693237,0.98765564,0.10919189,-0.12133789,0.98657227,33.27726746,-0.11463928,-30.01963806,-25.57032776,0.16270447,-22.86177063,0,0.0,4.32727051,4.32727051,0.94618553,0.94713008,1578642354113860,251932561454, HMD, -0.07507, 1.18438, 0.38057, 0.03057, 0.02171, -0.99805, 0.04994
3718409,1578642354114849,1,1,1,1,0,1,1,1,1,0,0.07595825,-0.13693237,0.98765564,0.10919189,-0.12133789,0.98657227,33.27726746,-0.11463928,-30.01963806,-25.57032776,0.16270447,-22.86177063,0,0.0,4.32727051,4.32727051,0.94618553,0.94713008,1578642354114885,251932571693, HMD, -0.07507, 1.18438, 0.38057, 0.03058, 0.02170, -0.99805, 0.04994
3718417,1578642354118853,1,1,1,1,0,1,1,1,1,0,0.07478333,-0.13893127,0.98747253,0.109375,-0.12036133,0.98667908,33.2824707,-0.12046814,-29.99981689,-25.57121277,0.15545654,-22.85624695,0,0.0,4.32687378,4.32687378,0.9602595,0.95173323,1578642354118453,251932607375, HMD, -0.07507, 1.18439, 0.38057, 0.03059, 0.02170, -0.99805, 0.04995
3718417,1578642354122835,1,1,1,1,0,1,1,1,1,0,0.07478333,-0.13893127,0.98747253,0.109375,-0.12036133,0.98667908,33.2824707,-0.12046814,-29.99981689,-25.57121277,0.15545654,-22.85624695,0,0.0,4.32687378,4.32687378,0.9602595,0.95173323,1578642354118453,251932607375, HMD, -0.07507, 1.18439, 0.38057, 0.03059, 0.02170, -0.99805, 0.04995
3718417,1578642354126829,1,1,1,1,0,1,1,1,1,0,0.07478333,-0.13893127,0.98747253,0.109375,-0.12036133,0.98667908,33.2824707,-0.12046814,-29.99981689,-25.57121277,0.15545654,-22.85624695,0,0.0,4.32687378,4.32687378,0.9602595,0.95173323,1578642354130628,251932729135, HMD, -0.07505, 1.18442, 0.38056, 0.03066, 0.02170, -0.99804, 0.05000
3718426,1578642354130847,1,1,1,1,0,1,1,1,1,0,0.07394409,-0.13853455,0.98757935,0.10905457,-0.12309265,0.9863739,33.28720093,-0.13589478,-29.96531677,-25.57432556,0.15492249,-22.84568787,0,0.0,4.32826233,4.32826233,0.9602595,0.95173323,1578642354130889,251932731735, HMD, -0.07505, 1.18442, 0.38056, 0.03066, 0.02170, -0.99804, 0.05000
3718434,1578642354134844,1,1,1,1,0,1,1,1,1,0,0.07394409,-0.13853455,0.98757935,0.10905457,-0.12309265,0.9863739,33.28720093,-0.13589478,-29.96531677,-25.57432556,0.15492249,-22.84568787,0,0.0,4.32826233,4.32826233,0.96279442,0.9406653,1578642354134851,251932771358, HMD, -0.07505, 1.18442, 0.38055, 0.03069, 0.02171, -0.99804, 0.05001
3718434,1578642354138826,1,1,1,1,0,1,1,1,1,0,0.07365417,-0.13891602,0.98754883,0.10919189,-0.12347412,0.98631287,33.29141235,-0.13676453,-29.96444702,-25.57513428,0.15022278,-22.84216309,0,0.0,4.3319397,4.3319397,0.96279442,0.9406653,1578642354135023,251932773072, HMD, -0.07505, 1.18442, 0.38055, 0.03069, 0.02171, -0.99804, 0.05001
3718434,1578642354142828,1,1,1,1,0,1,1,1,1,0,0.07365417,-0.13891602,0.98754883,0.10919189,-0.12347412,0.98631287,33.29141235,-0.13676453,-29.96444702,-25.57513428,0.15022278,-22.84216309,0,0.0,4.3319397,4.3319397,0.96279442,0.9406653,1578642354145318,251932876085, HMD, -0.07524, 1.18432, 0.38058, 0.03074, 0.02172, -0.99804, 0.05006
3718442,1578642354146817,1,1,1,1,0,1,1,1,1,0,0.07240295,-0.14041138,0.98742676,0.10830688,-0.12405396,0.98634338,33.29664612,-0.13786316,-29.95317078,-25.57728577,0.14880371,-22.83518982,0,0.0,4.33157349,4.33157349,0.96279442,0.9406653,1578642354146874,251932891584, HMD, -0.07524, 1.18432, 0.38058, 0.03074, 0.02172, -0.99804, 0.05006
3718442,1578642354150823,1,1,1,1,0,1,1,1,1,0,0.07240295,-0.14041138,0.98742676,0.10830688,-0.12405396,0.98634338,33.29664612,-0.13786316,-29.95317078,-25.57728577,0.14880371,-22.83518982,0,0.0,4.33157349,4.33157349,0.96279442,0.9406653,1578642354148431,251932907158, HMD, -0.07523, 1.18433, 0.38057, 0.03075, 0.02173, -0.99804, 0.05006
3718451,1578642354154820,1,1,1,1,0,1,1,1,1,0,0.07234192,-0.13975525,0.98753357,0.1078949,-0.12510681,0.98625183,33.3014679,-0.15377808,-29.91589355,-25.57995605,0.14520264,-22.82452393,0,0.0,4.33288574,4.33288574,0.95502096,0.94325006,1578642354148431,251932907158, HMD, -0.07523, 1.18433, 0.38057, 0.03075, 0.02173, -0.99804, 0.05006
3718459,1578642354158827,1,1,1,1,0,1,1,1,1,0,0.07234192,-0.13975525,0.98753357,0.1078949,-0.12510681,0.98625183,33.3014679,-0.15377808,-29.91589355,-25.57995605,0.14520264,-22.82452393,0,0.0,4.33288574,4.33288574,0.95502096,0.94325006,1578642354161630,251933039160, HMD, -0.07523, 1.18433, 0.38055, 0.03081, 0.02174, -0.99803, 0.05010
3718459,1578642354162807,1,1,1,1,0,1,1,1,1,0,0.07154846,-0.14064026,0.98745728,0.10523987,-0.12480164,0.98657227,33.30474854,-0.15377808,-29.91589355,-25.58164978,0.14161682,-22.82209778,0,0.0,4.32687378,4.32687378,0.95502096,0.94325006,1578642354162816,251933051001, HMD, -0.07523, 1.18433, 0.38055, 0.03081, 0.02174, -0.99803, 0.05011
3718459,1578642354166821,1,1,1,1,0,1,1,1,1,0,0.07154846,-0.14064026,0.98745728,0.10523987,-0.12480164,0.98657227,33.30474854,-0.15377808,-29.91589355,-25.58164978,0.14161682,-22.82209778,0,0.0,4.32687378,4.32687378,0.95502096,0.94325006,1578642354165469,251933077535, HMD, -0.07506, 1.18446, 0.38047, 0.03084, 0.02175, -0.99803, 0.05011
3718467,1578642354170817,1,1,1,1,0,1,1,1,1,0,0.07199097,-0.14083862,0.98739624,0.10597229,-0.12480164,0.98649597,33.30474854,-0.1630249,-29.88650513,-25.58576965,0.14112854,-22.82026672,0,0.0,4.29881287,4.29881287,0.95504743,0.93524516,1578642354165469,251933077535, HMD, -0.07506, 1.18446, 0.38047, 0.03084, 0.02175, -0.99803, 0.05011
3718467,1578642354175827,1,1,1,1,0,1,1,1,1,0,0.07199097,-0.14083862,0.98739624,0.10597229,-0.12480164,0.98649597,33.30474854,-0.1630249,-29.88650513,-25.58576965,0.14112854,-22.82026672,0,0.0,4.29881287,4.29881287,0.95504743,0.93524516,1578642354181013,251933232980, HMD, -0.07515, 1.18443, 0.38047, 0.03089, 0.02177, -0.99803, 0.05018
3718476,1578642354179597,1,1,1,1,0,1,1,1,1,0,0.07385254,-0.14263916,0.98699951,0.10646057,-0.12471008,0.9864502,33.30476379,-0.1630249,-29.88650513,-25.58995056,0.13937378,-22.81491089,0,0.0,4.29846191,4.29846191,0.95504743,0.93524516,1578642354181013,251933232980, HMD, -0.07515, 1.18443, 0.38047, 0.03089, 0.02177, -0.99803, 0.05018
3718484,1578642354184819,1,1,1,1,0,1,1,1,1,0,0.07481384,-0.14302063,0.98687744,0.10626221,-0.12466431,0.98648071,33.30477905,-0.1630249,-29.88650513,-25.59413147,0.13937378,-22.81491089,0,0.0,4.29762268,4.29762268,0.96409529,0.95800406,1578642354184797,251933270815, HMD, -0.07505, 1.18452, 0.38046, 0.03088, 0.02177, -0.99802, 0.05019
